ID SCAFFOLD PROPERTY DIFF
CHEMBL291759 O=C1Nc2ccccc2/C1=C/c1[nH]c2c(c1CCCN1CCNCC1)CCCC2 6.463

ID SCAFFOLD PROPERTY DIFF
CHEMBL238526 O=C(Nc1cnc2ccccc2c1)c1[nH]cnc1NCc1ccncc1 6.440
gen_0 Cn1cnc(NCc2ccncc2)c1C(=O)Nc1cnc2ccccc2c1 6.225 0.215
gen_1 CCC.Cc1ccc2ncc(NC(=O)c3c(NCc4ccncc4)ncn3C)cc2c1 6.752 0.312
gen_2 Cc1ccc2cc(NC(=O)c3c(NCc4ccncc4)ncn3C)cnc2c1 6.731 0.291
gen_3 CCC.Cc1ccc2ncc(NC(=O)c3c(NCc4ccncc4)ncn3C)cc2c1 6.752 0.312
gen_4 Cn1cnc(NCc2ccncc2)c1C(=O)Nc1cnc2ccccc2c1 6.225 0.215
gen_5 Cn1cnc(NCc2ccncc2)c1C(=O)Nc1cnc2ccccc2c1 6.225 0.215
gen_6 CCC.Cn1cnc(NCc2ccncc2)c1C(=O)Nc1cnc2ccccc2c1 6.294 0.146
gen_7 Cn1cnc(NCc2ccncc2)c1C(=O)Nc1cnc2ccccc2c1 6.225 0.215

ID SCAFFOLD PROPERTY DIFF
CHEMBL55594 O=C1Nc2ccccc2/C1=C/c1[nH]c2c(c1CN1CCOCC1)CCCC2 6.444
gen_0 CN(C)C.Cc1cc(C)c2c(c1)/C(=C/c1[nH]c3c(c1CN1CCOCC1)CCCC3)C(=O)N2 6.127 0.318

ID SCAFFOLD PROPERTY DIFF
CHEMBL596292 c1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCNCC6)ccc45)cc3)nc2c1 6.428
gen_0 COC.Cc1ccc2nc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)ccc45)cc3[Cl:0])sc2c1 6.692 0.264
gen_1 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
gen_2 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
