ID SCAFFOLD PROPERTY DIFF
STOCK1S-00003 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.380
gen_0 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_1 [Cl:0]c1cc([Br:0])ccc1/C=N/c1ccc2nccnc2c1 5.118 1.738
gen_2 Cc1c(/N=C/c2cccc([Br:0])c2)cc2nccnc2c1C 4.981 1.601
gen_3 Cc1cc2nccnc2cc1/N=C/c1ccc([Cl:0])cc1 4.617 1.237
gen_4 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_5 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_6 Cc1cccc([Cl:0])c1/C=N/c1ccc2nccnc2c1 4.594 1.213
gen_7 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_8 Cc1cnc2ccc(/N=C/c3cc([Br:0])cc([Cl:0])c3OC(=O)C(C)(C)C)cc2n1 5.691 2.310
gen_9 CC(C)(C)c1ccc(/C=N/c2ccc3nccnc3c2)cc1 4.826 1.446
gen_10 Cc1cc2nccnc2cc1/N=C/c1cc([Br:0])cc([Br:0])c1O 5.073 1.693
gen_11 [Cl:0]c1ccc(/C=N/c2ccc3nccnc3c2)c([Cl:0])c1 4.991 1.610
gen_12 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_13 Cc1ccc(/C=N/c2cc3nccnc3cc2C)cc1C 4.716 1.335
gen_14 Oc1c([Br:0])cc([Br:0])cc1/C=N/c1ccc2nccnc2c1 4.635 1.255
gen_15 C(=N/c1ccc2nccnc2c1)\c1ccccc1.CCC 3.822 0.441
gen_16 CCCCNC(=O)OC(C)C.CSc1ccc(/C=N/c2ccc3nccnc3c2)cc1 3.613 0.232
gen_17 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_18 CC(=O)NCCc1ccc(/C=N/c2ccc3nccnc3c2)cc1.CCSCC 3.040 0.340
gen_19 Oc1c([Br:0])cc([Cl:0])cc1/C=N/c1ccc2nccnc2c1 4.522 1.141
gen_20 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_21 Cc1cc2nccnc2cc1/N=C/c1cccc([Br:0])c1 4.708 1.328
gen_22 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
gen_23 Cc1cnc2cc(/N=C/c3cccc([Br:0])c3)c(C)cc2n1 4.973 1.593
gen_24 Oc1c([Cl:0])cc([Cl:0])cc1/C=N/c1ccc2nc([Cl:0])cnc2c1 5.105 1.724
gen_25 Cc1cnc2ccc(/N=C/c3cc([Br:0])cc([Cl:0])c3O)cc2n1 4.794 1.413
gen_26 Cc1cc2nccnc2cc1/N=C/c1cc([Cl:0])cc([Cl:0])c1O 4.843 1.463
gen_27 Cc1cnc2cc(/N=C/c3ccccc3[Cl:0])ccc2n1 4.424 1.043
gen_28 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.286 0.095
