ID SCAFFOLD PROPERTY DIFF
STOCK1S-00026 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.098
gen_0 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.232 0.133
gen_1 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.232 0.133
gen_2 CC(C)C.Cc1ccc(-n2c(-c3ccccc3)cn3c4ccc5ccccc5c4nc23)cc1 5.960 0.139
gen_3 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.232 0.133
gen_4 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.232 0.133
gen_5 Cc1ccc(-n2c(-c3ccccc3)cn3c4ccc5ccccc5c4nc23)cc1 6.767 0.668
gen_6 COc1ccc2ccc3c(nc4n(-c5ccc(C)cc5)c(-c5cccc(C)c5)cn34)c2c1 6.854 0.756
gen_7 COC(=O)NC(C)C.c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 3.762 2.337
gen_8 COC(C)C.Cc1cccc(-n2c(-c3ccccc3)cn3c4ccc5ccccc5c4nc23)c1 4.609 1.489
gen_9 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.232 0.133
gen_10 [Cl:0]c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 7.097 0.999
gen_11 CCN(C)C.Cc1cccc(-n2c(-c3ccccc3)cn3c4ccc5ccccc5c4nc23)c1 4.293 1.805
gen_12 CCOC(=O)O.c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 3.689 2.410
gen_13 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.232 0.133
gen_14 [Br:0]c1ccc(-n2c(-c3ccccc3)cn3c4ccc5ccccc5c4nc23)cc1 7.240 1.141
gen_15 COC(C)C.Cc1ccc(-n2c(-c3ccccc3)cn3c4ccc5c([Cl:0])cccc5c4nc23)cc1 5.063 1.036
gen_16 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.232 0.133
