ID SCAFFOLD PROPERTY #GEN_TOTAL #GEN_OVERLAP AVGDIFF
STOCK1S-00026 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.098 29 9 1.006
STOCK1S-00131 C1=C(c2ccccc2)N2N=C(c3ccccc3)OC23CCCCC3C1c1ccccc1 6.405 30 0 0.705
STOCK1S-00332 c1cc(-c2ccc(C3CC3)cc2)ccc1-c1ccc(C2CC2)cc1 6.775 30 17 2.102
STOCK1S-00353 c1ccc2cc3c(Nc4ccc(N5CCCCC5)cc4)ccnc3cc2c1 6.122 28 0 0.859
STOCK1S-00357 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 29 8 0.937
STOCK1S-00576 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 29 13 0.728
STOCK1S-00876 C(=N/c1ccc2c(c1)Cc1ccccc1-2)\c1cccc2ccccc12 6.162 29 6 1.135
STOCK1S-01003 O=C(Nc1ccc(OC23CC4CC(CC(C4)C2)C3)cc1)C12CC3CC(CC(C3)C1)C2 6.189 18 0 0.61
STOCK1S-01072 c1ccc(Cn2c(NN=C(N=Nc3ccccc3)c3ccccc3)nc3ccccc32)cc1 6.642 30 0 0.733
STOCK1S-01100 c1ccc(C(NCCc2c[nH]c3ccccc23)(c2ccccc2)c2ccccc2)cc1 6.292 2 0 0.587
STOCK1S-01253 c1ccc(C2=NN3C(C2)c2ccccc2OC3c2ccc(-c3ccccc3)cc2)cc1 6.596 29 0 0.701
STOCK1S-01595 C1=C/C(=N\C2CCCCC2)C=C2C1=NC13CCCCC1CC1=C(CCCC1)N23 6.089 29 0 0.599
STOCK1S-01751 c1ccc(-c2ccc(C(c3ccccc3)n3cnc4ccccc43)cc2)cc1 6.341 30 0 0.688
STOCK1S-01914 C1=C(c2ccccc2)n2c3c(c4ccccc42)CCCC3C1c1ccccc1 6.748 29 0 0.559
