ID SCAFFOLD PROPERTY #GEN_TOTAL #GEN_OVERLAP AVGDIFF
STOCK1S-00003 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.380 27 1 0.653
STOCK1S-00075 C(=N\N=C\c1ccccc1)\c1ccccc1 3.140 30 1 1.133
STOCK1S-00116 c1ccc(Oc2c[nH]nc2-c2ccccc2)cc1 3.869 0 0 NO GENERATIONS
STOCK1S-00119 O=C1c2ccccc2-c2nnc3c(c21)CCc1c-3cnn1-c1ccccc1 3.639 27 5 0.754
STOCK1S-00161 O=C(N/C=C/c1ccccc1)c1ccccc1 3.087 30 4 0.514
STOCK1S-00162 c1ccc(-n2ccc3nc4ccccc4nc32)cc1 3.574 30 0 0.212
STOCK1S-00180 c1ccc(Cc2ccccc2)cc1 3.277 30 3 0.721
STOCK1S-00259 c1ccc(Cc2ccccc2)cc1 3.277 30 0 1.032
STOCK1S-00269 O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1 3.398 30 0 2.29
STOCK1S-00324 O=C(Nc1ccccc1)/C(=C/c1ccncc1)NC(=O)c1ccccc1 3.491 27 0 0.866
STOCK1S-00336 O=C(NCc1ccccc1)/C(=C/c1ccccc1)NC(=O)c1ccccc1 3.774 29 2 0.928
STOCK1S-00341 C(=N/Nc1nncc2ccccc12)\c1ccccc1 3.076 27 1 1.133
STOCK1S-00345 c1ccc(-n2ccc3nc4ccccc4nc32)cc1 3.574 30 0 0.316
STOCK1S-00367 c1ccc(Cn2cc(C3N4CC5CC(C4)CN3C5)c3ccccc32)cc1 3.956 29 1 1.697
STOCK1S-00514 O=C(N/N=C\c1cc2ccccc2oc1=O)c1ccc2ccccc2c1 3.710 20 4 0.776
STOCK1S-00524 c1ccc(Cc2nc3ccccc3[nH]2)cc1 3.154 22 0 1.558
STOCK1S-00550 O=C(N/N=C/c1cc2c(ccc3ccccc32)oc1=O)c1ccccc1 3.710 24 10 0.646
STOCK1S-00561 O=C1CCCC2=C1C(c1ccccc1)C=CO2 3.321 30 0 1.47
STOCK1S-00574 c1ccc(NC2CCNc3ccccc32)cc1 3.655 30 0 1.795
STOCK1S-00647 c1ccc(CC2CCCC2)cc1 3.419 30 2 0.904
STOCK1S-00668 O=C(Nc1ccccc1)C(C(=O)Nc1ccccc1)=C1NCCc2ccccc21 3.821 30 2 0.405
STOCK1S-00686 O=C(N/C=C/c1ccccc1)c1ccccc1 3.087 30 2 0.716
STOCK1S-00696 O=c1oc2ccccc2cc1-c1nc2ccccc2[nH]1 3.336 3 0 1.661
STOCK1S-00697 N=c1ccc2c(ccc3ccccc32)o1 3.065 30 0 0.404
STOCK1S-00713 O=C1c2cccc3c(N4CCOCC4)ccc(c23)C(=O)N1c1ccccc1 3.477 30 1 1.163
STOCK1S-00730 c1ccc(CCC2CCOCC2)cc1 3.046 30 0 1.636
STOCK1S-00786 O=c1[nH]c(=O)c2c(nc(N/N=C/c3ccccc3)n2CCCOc2ccc3ccccc3c2)[nH]1 3.481 10 0 0.463
STOCK1S-00812 O=C(NC1CCCCC1)C1CC1c1ccccc1 3.239 30 0 1.659
STOCK1S-00815 O=C(CNC(=O)OCc1ccccc1)Oc1ccc2c3c(c(=O)oc2c1)CCCC3 3.504 29 0 1.335
STOCK1S-00820 O=c1c2ccccc2nc(/C=C/c2cccnc2)n1-c1ccccc1 3.951 29 4 0.988
STOCK1S-00867 O=C(C1CC1)C1C(c2ccccc2)CC2C=CC=CN21 3.276 29 0 1.581
STOCK1S-00872 O=C(/N=C(/NC(=O)c1ccccc1)Nc1ncc2ccccc2n1)c1ccccc1 3.668 30 7 0.645
STOCK1S-00936 O=c1c(NC(c2ccccc2)c2c[nH]n(-c3ccccc3)c2=O)c[nH]n1-c1ccccc1 3.846 14 0 1.156
STOCK1S-00951 C1=CN2C(=CC1c1ccc3c(c1)OCO3)Nc1ccccc12 3.800 21 0 1.394
STOCK1S-00979 O=C(CC1(c2ccccc2)CCOCC1)N1CCCCC1 3.137 30 0 1.64
STOCK1S-00990 C1=C[C@@H]2C[C@H](c3cccnc3)CN2c2ccccc21 3.471 30 0 1.519
STOCK1S-01013 c1ccc2c(c1)CCc1ccccc1N2 3.529 30 0 1.344
STOCK1S-01028 O=C(c1ccccc1)c1coc2ccccc12 3.664 30 4 1.132
STOCK1S-01070 c1ccc2cc3ncccc3cc2c1 3.388 30 0 1.035
STOCK1S-01145 O=C1C2C(c3ccccc3)OC3(C(=O)c4ccccc4C3=O)C2C(=O)N1c1ccccc1 3.382 30 0 1.248
STOCK1S-01271 O=c1c(/C=N/Cc2ccccc2)c(NCc2ccccc2)nc2ccccn12 3.926 29 2 0.908
STOCK1S-01352 c1ccc(Nc2cccc3c2=NC2(CCCCC2)N=3)cc1 3.343 30 2 0.522
STOCK1S-01357 O=C1CCCC2=C1C(c1ccccc1)C1=C(CCCC1=O)N2 3.388 30 1 2.056
STOCK1S-01363 c1ccc2c(c1)Cc1ccccc1C2 3.182 30 0 1.082
STOCK1S-01400 c1ccc(-c2nc3ccccc3o2)cc1 3.495 30 14 0.87
